
connection thread is runningrunning read while

asd
run MadgwickAHRSupdate thread for palm
MadgwickAHRS is started
0.992718 0.051387 -0.0709635 -0.0630186 
0.992461 0.0542813 -0.0690067 -0.066879 
0.992714 0.0533124 -0.0696066 -0.0630097 
-0.99226 -0.0542703 0.0728688 0.0658966 
0.992618 0.055246 -0.0686306 -0.063973 
-0.992662 -0.0523534 0.0719289 0.0620457 
-0.992322 -0.0561997 0.0695791 0.0668611 
-0.992649 -0.0533089 0.0705715 0.0630056 
0.99259 0.0533067 -0.0705673 -0.0639712 
-0.992308 -0.0552285 0.0705473 0.0668601 
0.992698 0.052343 -0.0705749 -0.0630087 
-0.992559 -0.0552436 0.0686265 0.0649384 
0.992595 0.0533059 -0.0695984 -0.0649408 
0.992777 0.0533168 -0.0686416 -0.0630137 
-0.992347 -0.055251 0.0699673 0.0668594 
0.992794 0.0523653 -0.069999 -0.0620419 
0.992411 0.0552546 -0.0690027 -0.0668637 
0.992776 0.0513968 -0.0709671 -0.0620409 
-0.992369 -0.0552283 0.070552 0.0659072 
-0.992605 -0.0542721 0.0695994 0.0639842 
0.992771 0.0533181 -0.0696106 -0.062044 
-0.992561 -0.0552443 0.0676573 0.0659081 
0.992745 0.0513766 -0.0705783 -0.0630119 
0.992243 0.0552266 -0.0715115 -0.0668559 
-0.992628 -0.0533217 0.0699877 0.0639821 
0.992563 0.0533171 -0.0709524 -0.0639779 
-0.992719 -0.053313 0.0686375 0.0639795 
-0.992874 -0.0513832 0.0686483 0.0630199 
-0.992734 -0.0542833 0.0666997 0.06495 
-0.99259 -0.0533072 0.0705672 0.0639712 
0.992706 0.0542943 -0.0680543 -0.0639873 
-0.992644 -0.0523396 0.0696018 0.0649441 
-0.992618 -0.0523557 0.0699866 0.064939 
-0.992459 -0.0542877 0.0699753 0.0658977 
0.992552 0.0523523 -0.0709513 -0.0649347 
-0.992352 -0.0562181 0.0709369 0.0649216 
0.992569 0.0533224 -0.0699831 -0.0649358 
0.992528 0.0552588 -0.0699803 -0.0639639 
-0.99242 -0.0542625 0.0705555 0.0659106 
-0.992556 -0.0533216 0.0719209 0.0629963 
-0.992397 -0.0542821 0.0699711 0.0668628 
0.992454 0.0542853 -0.0709443 -0.0649282 
-0.992636 -0.0533278 0.0680491 0.0659095 
-0.992504 -0.0533207 0.0709477 0.0649315 
0.992342 0.0552435 -0.0709367 -0.065902 
-0.992633 -0.0533209 0.0690187 0.0649519 
-0.992692 -0.0533242 0.0690228 0.0639864 
-0.992546 -0.054273 0.0695948 0.0649377 
0.992563 0.0533172 -0.0709524 -0.063978 
0.99242 0.0542661 -0.0705552 -0.0658986 
-0.992595 -0.0533081 0.0695983 0.0649412 
-0.992457 -0.0523327 0.0705578 0.0668706 
-0.992532 -0.0552546 0.0690117 0.0649451 
-0.992458 -0.0542801 0.0699758 0.0659094 
-0.992605 -0.054278 0.069599 0.0639725 
-0.992359 -0.0542645 0.0705508 0.0668639 
0.992809 0.0533307 -0.0690309 -0.0620545 
0.992346 0.0532938 -0.0705499 -0.0678322 
-0.992672 -0.0542807 0.0676649 0.0649462 
-0.992639 -0.0523412 0.0705707 0.0639747 
-0.99223 -0.0562065 0.0709286 0.0668632 
0.992722 0.053314 -0.0676683 -0.0649495 
-0.992459 -0.0542843 0.0699755 0.0658981 
0.992502 0.0562067 -0.069592 -0.0639773 
-0.992589 -0.0533036 0.0705675 0.0639829 
0.992637 0.0533268 -0.0670799 -0.0668792 
-0.992504 -0.0533175 0.0709479 0.0649318 
-0.992436 -0.0552338 0.0686182 0.0668806 
-0.992736 -0.0523571 0.0699953 0.0630194 
-0.992437 -0.0533094 0.0719127 0.0649388 
-0.992698 -0.0533235 0.0670844 0.0659253 
0.992628 0.0533197 -0.0699877 -0.0639819 
